ORGANIZATION_NAME,SHELTER_GROUP,LOCATION_NAME,OVERNIGHT_SERVICE_TYPE,SERVICE_USER_COUNT,CAPACITY_TYPE,CAPACITY_ACTUAL_BED,CAPACITY_FUNDING_BED,OCCUPIED_BEDS,UNOCCUPIED_BEDS,UNAVAILABLE_BEDS,OCCUPIED_ROOMS,UNOCCUPIED_ROOMS,OCCUPANCY_RATE_BEDS,OCCUPANCY_RATE_ROOMS
Christie Ossington Neighbourhood Centre,Christie Ossington Men's Hostel,CONC Men's Shelter Lansdowne Ave,Shelter,39,Bed Based Capacity,39,39,39,0,0,,,100,
Christie Ossington Neighbourhood Centre,Christie Ossington Men's Hostel,CONC Men's Shelter Bloor St W,Shelter,18,Bed Based Capacity,18,18,18,0,0,,,100,
"Christie Refugee Welcome Centre, Inc.",Christie Refugee Welcome Centre,Christie Refugee Welcome Centre,Shelter,66,Room Based Capacity,,,,,,28,0,,100
City of Toronto,Birkdale Residence,SSHA Birkdale Residence,Shelter,225,Room Based Capacity,,,,,,65,0,,100
City of Toronto,Birkdale Residence,SSHA North York West Hotel Program,Motel/Hotel Shelter,23,Room Based Capacity,,,,,,12,0,,100
City of Toronto,Birkdale Residence,SSHA North York West Hotel Program,Motel/Hotel Shelter,80,Room Based Capacity,,,,,,80,3,,96.39
City of Toronto,Birkdale Residence,SSHA North York West Hotel Program,Motel/Hotel Shelter,28,Room Based Capacity,,,,,,14,0,,100
City of Toronto,Birkdale Residence,SSHA North York West Hotel Program,Motel/Hotel Shelter,77,Room Based Capacity,,,,,,77,0,,100
City of Toronto,Downsview Dells,SSHA Downsview Dells,Shelter,15,Bed Based Capacity,18,18,15,3,0,,,83.33,
City of Toronto,Expansion  Sites,SSHA Roehampton Hotel Program,Motel/Hotel Shelter,146,Room Based Capacity,,,,,,76,0,,100
City of Toronto,Expansion  Sites,Scarborough Women's Shelter - Milner,Motel/Hotel Shelter,102,Room Based Capacity,,,,,,102,0,,100
City of Toronto,Family Residence,SSHA Family Residence,Shelter,146,Room Based Capacity,,,,,,45,0,,100
City of Toronto,Family Residence,SSHA Scarborough Hotel Program 3,Motel/Hotel Shelter,105,Room Based Capacity,,,,,,35,0,,100
City of Toronto,Family Residence,SSHA Scarborough Hotel Program 3,Motel/Hotel Shelter,9,Room Based Capacity,,,,,,9,1,,90
City of Toronto,Family Residence,SSHA Scarborough Hotel Program 4,Motel/Hotel Shelter,52,Room Based Capacity,,,,,,19,0,,100
City of Toronto,Fort York Residence,SSHA Fort York Residence,Shelter,40,Bed Based Capacity,51,52,40,11,1,,,78.43,
City of Toronto,Fort York Residence,SSHA North Hotel Program,Motel/Hotel Shelter,67,Room Based Capacity,,,,,,64,4,,94.12
City of Toronto,Fort York Residence,SSHA Fort York Residence,Shelter,44,Bed Based Capacity,46,46,44,2,0,,,95.65,
City of Toronto,Progress Shelter,Progress Avenue Shelter,Shelter,92,Bed Based Capacity,92,92,92,0,0,,,100,
City of Toronto,Robertson House,Robertson House,Shelter,84,Room Based Capacity,,,,,,32,0,,100
City of Toronto,SSHA Etobicoke Hotel Program,SSHA Etobicoke Hotel Program,Motel/Hotel Shelter,156,Room Based Capacity,,,,,,121,-1,,100.83
City of Toronto,SSHA Etobicoke Hotel Program,SSHA Etobicoke Hotel Program,Isolation/Recovery Site,11,Room Based Capacity,,,,,,9,0,,100
City of Toronto,Scarborough Village Residence,SSHA Scarborough Hotel Program 1,Motel/Hotel Shelter,48,Room Based Capacity,,,,,,24,0,,100
City of Toronto,Scarborough Village Residence,SSHA Scarborough Village Residence,Shelter,92,Bed Based Capacity,93,93,92,1,0,,,98.92,
City of Toronto,Seaton House,SSHA Junction Place,Shelter,62,Bed Based Capacity,62,62,62,0,0,,,100,
City of Toronto,Seaton House,SSHA Seaton House,Shelter,48,Bed Based Capacity,50,51,48,2,1,,,96,
City of Toronto,Seaton House,SSHA Seaton House,Shelter,81,Bed Based Capacity,81,81,81,0,0,,,100,
City of Toronto,Seaton House,SSHA Seaton House,Shelter,21,Bed Based Capacity,22,22,21,1,0,,,95.45,
City of Toronto,Seaton House,SSHA Seaton House,Shelter,9,Bed Based Capacity,9,10,9,0,1,,,100,
City of Toronto,Seaton House,SSHA Downtown Response Program,Shelter,60,Bed Based Capacity,60,60,60,0,0,,,100,
City of Toronto,Seaton House,SSHA Seaton House,Shelter,72,Bed Based Capacity,72,72,72,0,0,,,100,
City of Toronto,Streets To Homes,Streets to Homes Assessment and Referral Centre (SHARC),Shelter,29,Bed Based Capacity,30,30,29,1,0,,,96.67,
City of Toronto,Women's Residence,SSHA Downtown Hotel Program,Motel/Hotel Shelter,63,Room Based Capacity,,,,,,56,8,,87.5
City of Toronto,Women's Residence,SSHA Womens' Residence,Shelter,6,Bed Based Capacity,6,11,6,0,5,,,100,
City of Toronto,Women's Residence,SSHA Womens' Residence,Shelter,78,Bed Based Capacity,78,78,78,0,0,,,100,
Cornerstone Place,Cornerstone Place,Cornerstone Place,Shelter,25,Bed Based Capacity,25,25,25,0,0,,,100,
Covenant House Toronto,Covenant House,Covenant House Gerrard St E,Shelter,2,Bed Based Capacity,2,2,2,0,0,,,100,
Covenant House Toronto,Covenant House,Multiple Youth Agencies Downtown Hotel Program,Motel/Hotel Shelter,39,Room Based Capacity,,,,,,39,0,,100
Covenant House Toronto,Covenant House,Covenant House Gerrard St E,Shelter,61,Bed Based Capacity,62,62,61,1,0,,,98.39,
Covenant House Toronto,Covenant House,Covenant House McGill St,Shelter,28,Bed Based Capacity,28,28,28,0,0,,,100,
Dixon Hall,351 Lakeshore Respite Services,Dixon Hall 351 Lake Shore Blvd E Respite,24-Hour Respite Site,59,Bed Based Capacity,59,59,59,0,0,,,100,
Dixon Hall,Dixon Hall - Heyworth House,Dixon Hall 354 George St,24-Hour Respite Site,50,Bed Based Capacity,50,50,50,0,0,,,100,
Dixon Hall,Dixon Hall - Heyworth House,Dixon Hall Bond Place Hotel Program,Motel/Hotel Shelter,144,Room Based Capacity,,,,,,136,10,,93.15
Dixon Hall,Dixon Hall - Heyworth House,Dixon Hall Heyworth House,Shelter,53,Bed Based Capacity,53,53,53,0,0,,,100,
Dixon Hall,Dixon Hall - Heyworth House,Downtown Hotel Program - York,Motel/Hotel Shelter,90,Room Based Capacity,,,,,,90,0,,100
Dixon Hall,Dixon Hall - Heyworth House,Dixon Hall Downtown Hotel,Motel/Hotel Shelter,8,Room Based Capacity,,,,,,7,1,,87.5
Dixon Hall,Dixon Hall - Schoolhouse,Dixon Hall Schoolhouse,Shelter,26,Bed Based Capacity,26,26,26,0,0,,,100,
Eva's Initiatives,Eva's Phoenix,Eva's Phoenix,Shelter,49,Bed Based Capacity,50,50,49,1,0,,,98,
Eva's Initiatives,Eva's Place,Eva's Place,Shelter,25,Bed Based Capacity,25,25,25,0,0,,,100,
Eva's Initiatives,Eva's Place,Multiple Youth Agencies Downtown Hotel Program,Motel/Hotel Shelter,41,Room Based Capacity,,,,,,41,0,,100
Fife House Foundation,Fife House Transitional Program,Fife House Denison Ave,Shelter,4,Bed Based Capacity,5,5,4,1,0,,,80,
Fife House Foundation,Fife House Transitional Program,Fife House Sherbourne St,Shelter,10,Bed Based Capacity,11,11,10,1,0,,,90.91,
Fred Victor Centre,FV Women's Transition to Housing,Fred Victor Centre Transition to Housing Dundas St E,Shelter,37,Bed Based Capacity,37,37,37,0,0,,,100,
Fred Victor Centre,FV Women's Transition to Housing,Fred Victor Mary Sheffield House,Shelter,24,Bed Based Capacity,25,26,24,1,1,,,96,
Fred Victor Centre,Fred Victor Women's Hostel,Adelaide Resource Centre for Women,24-Hour Women's Drop-in,52,Bed Based Capacity,52,52,52,0,0,,,100,
Fred Victor Centre,Fred Victor Women's Hostel,Fred Victor Centre Fatima House,Shelter,27,Bed Based Capacity,27,27,27,0,0,,,100,
Fred Victor Centre,"Fred Victor, BUS",Fred Victor Centre Bethlehem United Shelter,Shelter,65,Bed Based Capacity,65,66,65,0,1,,,100,
Fred Victor Centre,"Fred Victor, BUS",Fred Victor Uptown Hotel Program,Motel/Hotel Shelter,278,Room Based Capacity,,,,,,266,0,,100
Fred Victor Centre,Fred Victor-Better Living Centre,Fred Victor Centre 1A Strachan Ave Respite,24-Hour Respite Site,58,Bed Based Capacity,58,58,58,0,0,,,100,
Fred Victor Centre,Fred Victor-Better Living Centre,Metro Hall,Warming Centre,45,Bed Based Capacity,45,80,45,0,35,,,100,
Friends of Ruby,Friends of Ruby,Friends of Ruby  ,Shelter,5,Bed Based Capacity,6,5,5,1,-1,,,83.33,
Friends of Ruby,Friends of Ruby,Friends of Ruby  ,Shelter,24,Bed Based Capacity,25,28,24,1,3,,,96,
Good Shepherd Ministries,Good Shepherd Centre,Good Shepherd Centre,Shelter,23,Bed Based Capacity,25,25,23,2,0,,,92,
Good Shepherd Ministries,Good Shepherd Centre,Good Shepherd Centre,Shelter,28,Bed Based Capacity,28,28,28,0,0,,,100,
Good Shepherd Ministries,Good Shepherd Centre,Good Shepherd Centre Barrett House,Shelter,5,Bed Based Capacity,5,5,5,0,0,,,100,
Good Shepherd Ministries,Good Shepherd Centre,Good Shepherd Centre West End Hotel Program,Motel/Hotel Shelter,45,Room Based Capacity,,,,,,45,0,,100
Homes First Society,HFS - Kennedy Shelter,HFS Kennedy Rd Women's Shelter,Shelter,42,Bed Based Capacity,43,50,42,1,7,,,97.67,
Homes First Society,HFS - Savard's Womens' Shelter,Downtown Hotel Program - York,Motel/Hotel Shelter,103,Room Based Capacity,,,,,,91,0,,100
Homes First Society,HFS - Scarborough Shelter,HFS 545 Lake Shore Blvd W Shelter,Shelter,102,Bed Based Capacity,111,119,102,9,8,,,91.89,
Homes First Society,HFS - Scarborough Shelter,HFS 545 Lake Shore Blvd W Shelter,Shelter,30,Bed Based Capacity,30,30,30,0,0,,,100,
Homes First Society,HFS - Scarborough Shelter,HFS 545 Lake Shore Blvd W Shelter,Shelter,56,Bed Based Capacity,57,57,56,1,0,,,98.25,
Homes First Society,HFS - Scarborough Shelter,HFS 545 Lake Shore Blvd W Shelter,24-Hour Respite Site,60,Bed Based Capacity,60,60,60,0,0,,,100,
Homes First Society,HFS - Scarborough Shelter,HFS - Lawrence East Shelter,Shelter,76,Bed Based Capacity,76,76,76,0,0,,,100,
Homes First Society,HFS - Scarborough Shelter,HFS - Metro Strachan,Motel/Hotel Shelter,83,Room Based Capacity,,,,,,83,0,,100
Homes First Society,HFS - Scarborough Shelter,Multiple Youth & Adult Agencies Scarborough Hotel Program,Motel/Hotel Shelter,370,Room Based Capacity,,,,,,313,0,,100
Homes First Society,HFS - Scarborough Shelter,HFS - Metro Strachan,Motel/Hotel Shelter,192,Room Based Capacity,,,,,,97,0,,100
Homes First Society,HFS - Scarborough Shelter,Homes First Society - Pacewood,Shelter,18,Bed Based Capacity,18,20,18,0,2,,,100,
Homes First Society,HFS - Scarborough Shelter,HFS Placer,Shelter,69,Bed Based Capacity,69,69,69,0,0,,,100,
Homes First Society,HFS - Scarborough Shelter,HFS St. Clair Ave E Shelter,Shelter,47,Bed Based Capacity,49,49,47,2,0,,,95.92,
Homes First Society,HFS - Scarborough Shelter,HFS Willowdale Centre,Shelter,100,Bed Based Capacity,100,100,100,0,0,,,100,
Homes First Society,HFS - Scarborough Shelter,HFS Willowdale Centre,Shelter,178,Bed Based Capacity,178,180,178,0,2,,,100,
Homes First Society,HFS - Scarborough Shelter,HFS Willowdale Centre,Shelter,71,Bed Based Capacity,71,75,71,0,4,,,100,
Horizon for Youth,Horizons for Youth,Horizons for Youth,Shelter,30,Bed Based Capacity,30,30,30,0,0,,,100,
Kennedy House Youth Services,Kennedy House Youth Shelter,Kennedy House Youth Shelter,Shelter,23,Bed Based Capacity,23,23,23,0,0,,,100,
Margaret's Housing and Community Support Services,Margaret's Toronto East Drop-In,Margaret's 21 Park Rd Respite ,24-Hour Respite Site,30,Bed Based Capacity,30,30,30,0,0,,,100,
Na-Me-Res (Native Men's Residence),Na-Me-Res,Na-Me-Res,Shelter,50,Bed Based Capacity,50,50,50,0,0,,,100,
Na-Me-Res (Native Men's Residence),Na-Me-Res,Sagatay ,Shelter,17,Bed Based Capacity,17,17,17,0,0,,,100,
Native Child & Family Services Toronto,Eagles Nest Transition House,Native Child & Family Services Toronto,Shelter,6,Bed Based Capacity,11,12,6,5,1,,,54.55,
Native Child & Family Services Toronto,Eagles Nest Transition House,Multiple Youth Agencies Downtown Hotel Program,Motel/Hotel Shelter,13,Room Based Capacity,,,,,,13,1,,92.86
Sistering: A Women's Place,Sistering,Sistering,24-Hour Women's Drop-in,14,Bed Based Capacity,14,19,14,0,5,,,100,
Society of St.Vincent De Paul,SVDP - Amelie House,SVDP Amelie House,Shelter,17,Bed Based Capacity,17,17,17,0,0,,,100,
Society of St.Vincent De Paul,SVDP - Elisa House,SVDP Elisa House,Shelter,25,Bed Based Capacity,25,25,25,0,0,,,100,
Society of St.Vincent De Paul,SVDP - Mary's Home,SVDP Mary's Home,Shelter,32,Bed Based Capacity,32,34,32,0,2,,,100,
Society of St.Vincent De Paul,SVDP - St. Clare's Residence,SVDP St. Clare's Residence,Shelter,27,Bed Based Capacity,27,30,27,0,3,,,100,
St. Felix Social Ministries Outreach,St. Felix Centre,St. Felix Centre 25 Augusta Ave. Respite ,24-Hour Respite Site,22,Bed Based Capacity,22,22,22,0,0,,,100,
St. Felix Social Ministries Outreach,St. Felix Centre,St. Felix Centre 69 Fraser Ave. Respite ,24-Hour Respite Site,52,Bed Based Capacity,52,52,52,0,0,,,100,
St. Simon's Shelter Inc.,St. Simon's Shelter,St. Simon's Clubbe House,Motel/Hotel Shelter,30,Room Based Capacity,,,,,,30,0,,100
Street Haven At The Crossroads,Street Haven,Street Haven,Shelter,28,Bed Based Capacity,28,28,28,0,0,,,100,
Street Haven At The Crossroads,Street Haven,Street Haven Downtown Hotel Program,Motel/Hotel Shelter,47,Room Based Capacity,,,,,,33,0,,100
The MUC Shelter Corporation,Sojourn House,Sojourn House Hotel Program,Shelter,227,Room Based Capacity,,,,,,77,0,,100
The MUC Shelter Corporation,Sojourn House,Sojourn House Ontario St,Shelter,76,Bed Based Capacity,76,76,76,0,0,,,100,
The MUC Shelter Corporation,Sojourn House,Sojourn House Ontario St,Shelter,71,Room Based Capacity,,,,,,25,0,,100
The Salvation Army of Canada,Salvation Army - Evangeline Res,SA Evangeline Residence,Shelter,75,Bed Based Capacity,75,76,75,0,1,,,100,
The Salvation Army of Canada,Salvation Army - Florence Booth,Etobicoke Hotel Site 1,Motel/Hotel Shelter,35,Room Based Capacity,,,,,,25,0,,100
The Salvation Army of Canada,Salvation Army - Gateway,SA Gateway,Shelter,66,Bed Based Capacity,66,66,66,0,0,,,100,
The Salvation Army of Canada,Salvation Army - Maxwell Meighen,SA Scarborough Hotel Program,Motel/Hotel Shelter,130,Room Based Capacity,,,,,,130,0,,100
The Salvation Army of Canada,Salvation Army - Maxwell Meighen,Maxwell Meighen Centre,Shelter,243,Bed Based Capacity,244,245,243,1,1,,,99.59,
The Salvation Army of Canada,Salvation Army - New Hope Leslie,Etobicoke Hotel Site 1,Motel/Hotel Shelter,58,Room Based Capacity,,,,,,35,0,,100
The Salvation Army of Canada,Salvation Army - New Hope Leslie,SA New Hope Leslieville,Shelter,42,Bed Based Capacity,42,43,42,0,1,,,100,
The Salvation Army of Canada,Salvation Army Islington Seniors,SA Islington Seniors' Shelter,Shelter,46,Bed Based Capacity,46,46,46,0,0,,,100,
The Salvation Army of Canada,Salvation Army Islington Seniors,SA Islington Seniors' Shelter,Shelter,37,Bed Based Capacity,37,37,37,0,0,,,100,
The Scott Mission Inc.,Scott Mission Men's Ministry,The Scott Mission - Kensington location,Shelter,66,Bed Based Capacity,66,66,66,0,0,,,100,
Toronto Community Hostel,Toronto Community Hostel,Toronto Community Hostel (MUC),Shelter,9,Room Based Capacity,,,,,,3,0,,100
Toronto Community Hostel,Toronto Community Hostel,Toronto Community Hostel (MUC),Shelter,6,Bed Based Capacity,6,6,6,0,0,,,100,
Turning Point Youth Services,Turning Point Youth Services,Turning Point Youth Services ,Shelter,18,Bed Based Capacity,18,18,18,0,0,,,100,
Warden Woods Community Centre,Scarborough Cold Weather Drop-IN,Warden Woods 705 Progress Ave Respite ,24-Hour Respite Site,49,Bed Based Capacity,49,49,49,0,0,,,100,
Women's Hostels Inc.,Nellie's,,Shelter,12,Bed Based Capacity,12,12,12,0,0,,,100,
WoodGreen Red Door Family Shelter,Red Door Family Shelter,Red Door Family Shelter,Shelter,86,Room Based Capacity,,,,,,25,1,,96.15
YMCA of Greater Toronto,YMCA House,Vanauley Street YMCA Emergency Shelter,Shelter,20,Bed Based Capacity,20,20,20,0,0,,,100,
YMCA of Greater Toronto,YMCA House,Multiple Youth Agencies Downtown Hotel Program,Motel/Hotel Shelter,41,Room Based Capacity,,,,,,41,1,,97.62
YMCA of Greater Toronto,YMCA Sprott House,YMCA Sprott House ,Shelter,25,Bed Based Capacity,25,25,25,0,0,,,100,
YWCA Toronto,YWCA - First Stop Woodlawn,YWCA 1st Stop Woodlawn ,Shelter,27,Bed Based Capacity,27,27,27,0,0,,,100,
YWCA Toronto,YWCA - First Stop Woodlawn,YWCA 1st Stop Woodlawn ,Shelter,25,Bed Based Capacity,25,25,25,0,0,,,100,
YWCA Toronto,YWCA-348 Davenport,YWCA Davenport Shelter,Shelter,20,Bed Based Capacity,20,20,20,0,0,,,100,
YWCA Toronto,YWCA-348 Davenport,YWCA Davenport Shelter,Shelter,21,Bed Based Capacity,21,21,21,0,0,,,100,
Youth Without Shelter,Youth Without Shelter,Youth Without Shelter ,Shelter,23,Bed Based Capacity,23,25,23,0,2,,,100,
Youth Without Shelter,Youth Without Shelter,Youth Without Shelter ,Shelter,13,Bed Based Capacity,14,15,13,1,1,,,92.86,
YouthLink,YouthLink Shelter,YouthLink ,Shelter,10,Bed Based Capacity,10,10,10,0,0,,,100,
YouthLink,YouthLink Shelter,YouthLink ,Shelter,38,Bed Based Capacity,38,40,38,0,2,,,100,
COSTI Immigrant Services,COSTI Reception Centre,COSTI Hotel Program Dixon,Motel/Hotel Shelter,618,Room Based Capacity,,,,,,149,0,,100
COSTI Immigrant Services,COSTI Reception Centre,COSTI Hotel Program Dixon,Motel/Hotel Shelter,113,Room Based Capacity,,,,,,57,0,,100
COSTI Immigrant Services,COSTI Reception Centre,COSTI Reception Centre,Shelter,8,Bed Based Capacity,8,8,8,0,0,,,100,
COSTI Immigrant Services,COSTI Reception Centre,COSTI Uptown Hotel Program,Motel/Hotel Shelter,1,Room Based Capacity,,,,,,1,0,,100
COSTI Immigrant Services,COSTI Reception Centre,COSTI Uptown Hotel Program,Motel/Hotel Shelter,229,Room Based Capacity,,,,,,72,0,,100
COSTI Immigrant Services,COSTI Reception Centre,COSTI Uptown Hotel Program,Motel/Hotel Shelter,481,Room Based Capacity,,,,,,153,0,,100
Christie Ossington Neighbourhood Centre,Christie Ossington Men's Hostel,CONC Etobicoke Hotel Program,Motel/Hotel Shelter,150,Room Based Capacity,,,,,,145,0,,100
Christie Ossington Neighbourhood Centre,Christie Ossington Men's Hostel,CONC West End Hotel Program,Motel/Hotel Shelter,39,Room Based Capacity,,,,,,39,0,,100
Christie Ossington Neighbourhood Centre,Christie Ossington Men's Hostel,CONC Men's Shelter Lansdowne Ave,Shelter,39,Bed Based Capacity,39,39,39,0,0,,,100,
Christie Ossington Neighbourhood Centre,Christie Ossington Men's Hostel,CONC Men's Shelter Bloor St W,Shelter,18,Bed Based Capacity,18,18,18,0,0,,,100,
"Christie Refugee Welcome Centre, Inc.",Christie Refugee Welcome Centre,Christie Refugee Welcome Centre,Shelter,66,Room Based Capacity,,,,,,28,0,,100
City of Toronto,Birkdale Residence,SSHA Birkdale Residence,Shelter,225,Room Based Capacity,,,,,,65,0,,100
City of Toronto,Birkdale Residence,SSHA North York West Hotel Program,Motel/Hotel Shelter,21,Room Based Capacity,,,,,,11,1,,91.67
City of Toronto,Birkdale Residence,SSHA North York West Hotel Program,Motel/Hotel Shelter,81,Room Based Capacity,,,,,,81,2,,97.59
City of Toronto,Birkdale Residence,SSHA North York West Hotel Program,Motel/Hotel Shelter,28,Room Based Capacity,,,,,,14,0,,100
City of Toronto,Birkdale Residence,SSHA North York West Hotel Program,Motel/Hotel Shelter,77,Room Based Capacity,,,,,,77,0,,100
City of Toronto,Downsview Dells,SSHA Downsview Dells,Shelter,15,Bed Based Capacity,18,18,15,3,0,,,83.33,
City of Toronto,Expansion  Sites,SSHA Roehampton Hotel Program,Motel/Hotel Shelter,144,Room Based Capacity,,,,,,76,0,,100
City of Toronto,Expansion  Sites,Scarborough Women's Shelter - Milner,Motel/Hotel Shelter,102,Room Based Capacity,,,,,,102,0,,100
City of Toronto,Family Residence,SSHA Family Residence,Shelter,146,Room Based Capacity,,,,,,45,0,,100
City of Toronto,Family Residence,SSHA Scarborough Hotel Program 3,Motel/Hotel Shelter,107,Room Based Capacity,,,,,,36,0,,100
City of Toronto,Family Residence,SSHA Scarborough Hotel Program 3,Motel/Hotel Shelter,9,Room Based Capacity,,,,,,9,1,,90
City of Toronto,Family Residence,SSHA Scarborough Hotel Program 4,Motel/Hotel Shelter,52,Room Based Capacity,,,,,,19,0,,100
City of Toronto,Fort York Residence,SSHA Fort York Residence,Shelter,42,Bed Based Capacity,51,52,42,9,1,,,82.35,
City of Toronto,Fort York Residence,SSHA North Hotel Program,Motel/Hotel Shelter,68,Room Based Capacity,,,,,,65,3,,95.59
City of Toronto,Fort York Residence,SSHA Fort York Residence,Shelter,44,Bed Based Capacity,46,46,44,2,0,,,95.65,
City of Toronto,Progress Shelter,Progress Avenue Shelter,Shelter,92,Bed Based Capacity,92,92,92,0,0,,,100,
City of Toronto,Robertson House,Robertson House,Shelter,84,Room Based Capacity,,,,,,32,1,,96.97
City of Toronto,SSHA Etobicoke Hotel Program,SSHA Etobicoke Hotel Program,Motel/Hotel Shelter,160,Room Based Capacity,,,,,,125,-1,,100.81
City of Toronto,SSHA Etobicoke Hotel Program,SSHA Etobicoke Hotel Program,Isolation/Recovery Site,12,Room Based Capacity,,,,,,10,0,,100
City of Toronto,Scarborough Village Residence,SSHA Scarborough Hotel Program 1,Motel/Hotel Shelter,48,Room Based Capacity,,,,,,24,0,,100
